정책단위사업,정책단위사업.1,합계금액,지역명
,교과 활동,557878000.0,전남
,창의적 체험활동,285579760.0,전남
,자유학기(년) 활동,0.0,전남
선택적 교육활동,선택적 교육활동,741014920.0,전남
,방과후학교 운영,367099590.0,전남
,직업교육,0.0,전남
,국제교육,0.0,전남
,독서활동,57390750.0,전남
,교기육성,174981060.0,전남
,기타 선택적 교육활동,141543520.0,전남
교육활동 지원,교육활동 지원,584860420.0,전남
,교무업무 운영,95702700.0,전남
,생활지도 운영,37390890.0,전남
,연구학교 운영,55933750.0,전남
,학습지원실 운영,29431580.0,전남
,교육여건 개선,366401500.0,전남
학교 일반운영,학교 일반운영,654839680.0,전남
,학교기관운영,254971790.0,전남
,시설 장비 유지,381485080.0,전남
,학교운영 협력,18382810.0,전남
학교시설 확충,학교시설 확충,0.0,전남
,시설확충 및 개선,0.0,전남
학교 재무활동,학교 재무활동,25578050.0,전남
,반환금,25578050.0,전남
,예비비,0.0,전남
세출합계,세출합계,3822076990.0,전남
정책사업,단위사업,0.0,대전
인적자원 운용,인적자원 운용,25680980.0,대전
,교직원보수,0.0,대전
,기타 교직원 보수,13449300.0,대전
,교직원 복지 및 역량강화,12231680.0,대전
학생복지/교육격차 해소,학생복지/교육격차 해소,467760630.0,대전
,급식 관리,318756870.0,대전
,기숙사 관리,0.0,대전
,보건관리,31840690.0,대전
,교육격차 해소,28915600.0,대전
,학생복지,88247470.0,대전
기본적 교육활동,기본적 교육활동,182965660.0,대전
,교과 활동,162066370.0,대전
,창의적 체험활동,20899290.0,대전
,자유학기(년) 활동,0.0,대전
선택적 교육활동,선택적 교육활동,259787030.0,대전
,방과후학교 운영,188579990.0,대전
,직업교육,0.0,대전
,국제교육,0.0,대전
,독서활동,19631260.0,대전
,교기육성,44575780.0,대전
,기타 선택적 교육활동,7000000.0,대전
교육활동 지원,교육활동 지원,159257660.0,대전
,교무업무 운영,52742930.0,대전
,생활지도 운영,40699890.0,대전
,연구학교 운영,8000000.0,대전
,학습지원실 운영,10208110.0,대전
,교육여건 개선,47606730.0,대전
학교 일반운영,학교 일반운영,211915890.0,대전
