조사년도,개방ID,학교명,시도명,학교구분명,전문대_여자재학생수,전문대_재학생수,전문대_재적여학생수,전문대_재적학생수,전문대_학사심화과정입학정원수,전문대_입학정원수,전문대_심화과정학과수,전문대_학과수,전문대_휴학생수,전문대_여자휴학생수,전문대_야간4학년재적여학생수,전문대_야간4학년재적학생수,전문대_야간3학년재적여학생수,전문대_야간3학년재적학생수,전문대_야간2학년재적여학생수,전문대_야간2학년재적학생수,전문대_야간1학년재적여학생수,전문대_야간1학년재적학생수,전문대_야간여자휴학생수,전문대_야간휴학생수,전문대_야간여자재학생수,전문대_야간재학생수,전문대_주간학사심화과정4학년재적학생수,전문대_주간학사심화과정3학년재적학생수,전문대_주간학사심화과정2학년재적학생수,전문대_주간학사심화과정1학년재적학생수,전문대_주간4학년재적여학생수,전문대_주간4학년재적학생수,전문대_주간3학년재적여학생수,전문대_주간3학년재적학생수,전문대_주간2학년재적여학생수,전문대_주간2학년재적학생수,전문대_주간1학년재적여학생수,전문대_주간1학년재적학생수,전문대_주간여자휴학생수,전문대_주간휴학생수,전문대_주간여자재학생수,전문대_주간재학생수,전문대_여자졸업생수,전문대_졸업생수,전문대_학사심화과정여자입학생수,전문대_학사심화과정입학생수,전문대_여자입학생수,전문대_입학생수,전문대_야간학사심화과정4학년재적학생수,전문대_야간학사심화과정3학년재적학생수,전문대_야간학사심화과정2학년재적학생수,전문대학_주간학사심화과정재적학생수,전문대학_주간학사심화과정재적여학생수,전문대_건물면적,전문대학_주간학사심화과정1학년재적여학생수,전문대학_주간학사심화과정2학년재적여학생수,전문대_교원정원수,전문대_교원수,전문대_학교수,전문대_사무직원정원수,전문대_사무직원수,전문대학_야간학사심화과정4학년재적여학생수,전문대학_야간학사심화과정3학년재적여학생수,전문대학_야간학사심화과정2학년재적여학생수,전문대학_야간학사심화과정1학년재적여학생수,전문대학_야간학사심화과정재적학생수,전문대학_야간학사심화과정재적여학생수,전문대_여자교원수,전문대_여자사무직원수,전문대학_주간학사심화과정4학년재적여학생수,전문대학_주간학사심화과정3학년재적여학생수,전문대_야간학사심화과정1학년재적학생수,,,,,
2009,2791853487,아주자동차대학,충남,전문대학,14,765,17,1946,40,0,1,3,1181,3,0,0,0,0,0,7,0,4,0,2,1,21,0,0,0,0,0,0,0,11,10,860,6,1052,3,1179,13,744,7,247,0,3,6,477,0,0,9,0,0,22901,0,0,53,28,1,22,15,0,0,1,0,12,1,0,2,0,0,3,,,,2756348550,경북도립대학
2009,2854465365,제주관광대학,제주,전문대학,1237,2231,1508,3663,90,0,2,28,1432,271,0,0,0,0,65,97,47,80,18,30,105,194,0,0,0,0,0,0,135,164,543,1319,707,1956,253,1402,1132,2037,605,958,7,20,622,1189,0,0,27,0,0,13391,0,0,131,66,1,38,33,0,0,4,7,47,11,22,5,0,0,20,,,,2791853487,아주자동차대학
2009,2870859563,여주대학,경기,전문대학,3041,5513,3472,9161,0,0,0,133,3648,431,0,0,23,38,332,900,114,377,72,570,397,745,0,0,0,0,0,0,289,405,1285,3630,1429,3811,359,3078,2644,4768,1208,2178,0,0,1450,2824,0,0,0,0,0,84018,0,0,288,128,1,188,134,0,0,0,0,0,0,45,26,0,0,0,,,,2854465365,제주관광대학
2009,2954328298,주성대학,충북,전문대학,1241,2737,1306,3830,0,0,0,67,1093,65,0,0,0,0,215,423,162,369,10,59,367,733,0,0,0,0,0,0,65,108,377,1294,487,1636,55,1034,874,2004,535,1173,0,0,631,1508,0,0,0,0,0,46443,0,0,179,91,1,87,58,0,0,0,0,0,0,16,9,0,0,0,,,,2870859563,여주대학
2009,2969926416,한림성심대학,강원,전문대학,1366,2893,1528,4267,155,0,9,66,1374,162,0,0,27,28,114,399,98,356,40,178,224,736,0,0,0,0,0,0,77,86,550,1644,637,1623,122,1196,1142,2157,562,1142,19,95,680,1493,0,0,34,0,0,26385,0,0,124,80,1,55,41,0,0,4,21,131,25,19,6,0,0,97,,,,2954328298,주성대학
2009,3036731123,동주대학,부산,전문대학,2379,3340,2530,4182,0,0,0,42,842,151,0,0,0,0,56,74,77,92,6,15,127,151,0,0,0,0,0,0,287,325,1019,1682,1091,2009,145,827,2252,3189,1019,1340,0,0,1142,1790,0,0,0,0,0,44513,0,0,203,103,1,90,45,0,0,0,0,0,0,43,13,0,0,0,,,,2969926416,한림성심대학
2009,3049030125,서울여자간호대학,서울,전문대학,922,922,966,966,40,0,1,1,44,44,0,0,0,0,0,0,0,0,0,0,41,41,0,0,0,0,0,0,277,277,319,319,329,329,44,44,881,881,316,316,40,40,307,307,0,0,41,0,0,18141,0,0,37,26,1,36,25,0,0,41,0,41,41,24,15,0,0,0,,,,3036731123,동주대학
2009,3138893783,장안대학,경기,전문대학,4225,6831,4596,9754,190,0,7,79,2923,371,0,0,0,0,279,513,244,473,28,146,515,889,0,0,0,0,0,0,101,105,1986,4435,1966,4179,343,2777,3710,5942,1681,2614,18,36,2126,3621,0,0,16,0,0,76026,0,0,267,156,1,79,32,0,0,7,13,49,20,60,8,0,0,33,,,,3049030125,서울여자간호대학
2009,3177766501,상지영서대학,강원,전문대학,984,2090,1429,4350,0,0,0,43,2260,445,0,0,0,0,105,381,114,411,70,396,149,396,0,0,0,0,0,0,92,134,569,1808,549,1616,375,1864,835,1694,396,928,0,0,463,1049,0,0,0,0,0,17508,0,0,140,69,1,40,25,0,0,0,0,0,0,14,6,0,0,0,,,,3138893783,장안대학
2009,3215096950,송호대학,강원,전문대학,445,922,512,1291,0,0,0,26,369,67,0,0,0,0,35,90,30,70,6,15,59,145,0,0,0,0,0,0,43,46,192,527,212,558,61,354,386,777,179,329,0,0,211,482,0,0,0,0,0,15959,0,0,60,30,1,70,20,0,0,0,0,0,0,8,6,0,0,0,,,,3177766501,상지영서대학
