조사년도,개방ID,학교명,시도명,학제유형명,학교구분명,대학교개황_교원정원수,대학교개황_교원수,대학교개황_휴학생수,대학교개황_학교수,대학교개황_사무직원정원수,대학교개황_사무직원수,대학교개황_입학생수,대학교개황_입학정원수,대학교개황_주간휴학생수,대학교개황_주간6학년재적학생수,대학교개황_주간6학년재적여학생수,대학교개황_주간5학년재적학생수,대학교개황_주간5학년재적여학생수,대학교개황_주간4학년재적학생수,대학교개황_주간4학년재적여학생수,대학교개황_주간3학년재적학생수,대학교개황_주간3학년재적여학생수,대학교개황_주간2학년재적학생수,대학교개황_주간2학년재적여학생수,대학교개황_주간1학년재적학생수,대학교개황_주간1학년재적여학생수,대학교개황_주간여자휴학생수,대학교개황_주간여자재학생수,대학교개황_주간재학생수,대학교개황_주간입학정원수,대학교개황_분교학교수,대학교개황_건물면적,대학교개황_취업자수,대학교개황_재적여학생수,대학교개황_야간휴학생수,대학교개황_야간6학년재적학생수,대학교개황_야간6학년재적여학생수,대학교개황_야간5학년재적학생수,대학교개황_야간5학년재적여학생수,대학교개황_야간4학년재적학생수,대학교개황_야간4학년재적여학생수,대학교개황_야간3학년재적학생수,대학교개황_야간3학년재적여학생수,대학교개황_야간2학년재적학생수,대학교개황_야간2학년재적여학생수,대학교개황_야간1학년재적학생수,대학교개황_야간1학년재적여학생수,대학교개황_야간여자휴학생수,대학교개황_야간여자재학생수,대학교개황_야간재학생수,대학교개황_야간입학정원수,대학교개황_학과수,대학교개황_졸업생수,대학교개황_여자교원수,대학교개황_여자휴학생수,대학교개황_여자사무직원수,대학교개황_여자입학생수,대학교개황_여자졸업생수,대학교개황_여자재학생수,대학교개황_여자취업자수,대학교개황_재학생수,대학교개황_재적학생수
2009,2921958863,강서대학교,서울,대학,대학,68,40,548,1,43,26,372,0,337,0,0,0,0,301,191,265,165,306,160,328,156,115,557,863,0,0,12396,117,1023,211,0,0,0,0,137,81,147,88,175,85,234,97,68,283,482,0,8,259,15,183,8,205,167,183,75,1345,1893
2009,2948101282,한중대학교,강원,대학,대학,167,82,150,1,53,33,691,0,142,0,0,0,0,391,176,368,191,383,179,726,298,30,814,1726,0,0,40781,225,869,8,0,0,0,0,6,0,5,2,53,23,2,0,0,25,58,0,66,274,18,30,10,289,121,30,104,1784,1934
2009,2966308116,대진대학교,경기,대학,대학,393,224,3894,1,175,170,2122,0,3823,0,0,0,0,2258,1049,2698,1102,3865,1056,2274,989,659,3537,7272,0,0,129987,897,4259,71,0,0,0,0,46,17,87,22,66,13,52,11,9,54,180,0,54,1550,37,668,31,995,727,668,432,7452,11346
2009,3061540484,장로회신학대학교,서울,대학,대학,128,42,285,1,48,40,167,0,285,0,0,0,0,242,93,241,89,248,75,198,81,64,274,644,0,0,35772,82,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,154,11,64,18,77,59,64,28,644,929
2009,3173264682,백석대학교,충남,대학,대학,694,363,5704,1,209,141,3455,0,5377,0,0,0,0,3825,2178,4471,2126,5462,1913,3447,1777,1114,6880,11828,0,0,121386,1742,8157,327,0,0,0,0,506,151,330,11,183,1,0,0,41,122,692,0,27,2481,116,1155,48,1787,1436,1155,1048,12520,18224
2009,3184465050,수원가톨릭대학교,경기,대학,대학,19,14,64,1,55,32,51,0,64,0,0,0,0,33,0,51,2,108,3,54,3,2,6,182,0,0,16118,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,0,2,22,2,1,2,1,182,246
2009,3198850274,한국해양대학교,부산,대학,대학,330,240,2692,1,257,251,1556,0,2692,0,0,4,4,2310,597,1837,432,2251,397,2694,353,276,1507,6404,0,0,100423,882,1783,0,0,0,0,0,0,0,19,0,0,0,16,0,0,0,35,0,41,1311,14,276,71,338,384,276,219,6439,9131
2009,3204512953,대전가톨릭대학교,충남,대학,대학,11,13,83,1,36,28,21,0,83,0,0,0,0,14,1,106,0,30,0,22,0,0,1,89,0,0,8165,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,10,0,0,0,0,89,172
2009,3241691589,국민대학교,서울,대학,대학,765,457,6898,1,244,224,3340,0,6707,0,0,62,28,4581,2004,4444,1933,5086,1620,5231,1580,1541,5624,12697,0,0,156065,1650,7744,191,0,0,0,0,264,168,268,163,246,166,184,82,85,494,771,0,98,2859,58,1626,58,1455,1269,1626,733,13468,20366
2009,3256466805,대전신학대학교,대전,대학,대학,4,12,0,1,16,13,59,0,0,0,0,0,0,0,0,0,0,0,0,59,17,0,17,59,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,17,0,0,0,59,59
