공시년도,개방ID,학교명,학교급명,시도교육청명,공시차수,동아리_자원봉사자및외부강사수,동아리활동_학교수,동아리활동_참여학생수,동아리참여교사수,동아리수
2009,1101216375,김포중학교,중학교,경기도교육청,2,0,1,257,11,5
2009,1101344585,내면고등학교,고등학교,강원특별자치도교육청,2,0,1,69,5,4
2009,1101485133,매산초등학교,초등학교,경기도교육청,2,3,1,70,5,4
2009,1102447509,곡반중학교,중학교,경기도교육청,2,0,1,15,1,1
2009,1102671742,의림여자중학교,중학교,충청북도교육청,2,0,1,108,5,5
2009,1105004191,서울녹번초등학교,초등학교,서울특별시교육청,2,0,1,184,14,4
2009,1105667769,영복여자고등학교,고등학교,경기도교육청,2,8,1,571,30,29
2009,1105942964,연수중학교,중학교,인천광역시교육청,2,0,1,127,7,5
2009,1107085585,함창중학교,중학교,경상북도교육청,2,0,1,18,2,2
2009,1107466995,방일초등학교,초등학교,경기도교육청,2,0,1,50,2,2
2009,1108386993,청라중학교,중학교,충청남도교육청,2,0,1,33,2,2
2009,1108923435,장목초등학교,초등학교,경상남도교육청,2,0,1,0,0,0
2009,1110422253,정라초등학교,초등학교,강원특별자치도교육청,2,0,1,232,6,6
2009,1110791325,웅담초등학교,초등학교,경기도교육청,2,0,1,75,5,4
2009,1110836923,구현고등학교,고등학교,서울특별시교육청,2,1,1,154,10,10
2009,1111474752,순천조례초등학교,초등학교,전라남도교육청,2,0,1,95,4,2
2009,1112041771,성림초등학교,초등학교,강원특별자치도교육청,2,0,1,230,5,3
2009,1112568020,대건중학교,중학교,대구광역시교육청,2,0,1,57,2,2
2009,1114383876,목포북교초등학교,초등학교,전라남도교육청,2,0,1,33,2,1
2009,1114922463,대산초등학교,초등학교,경상남도교육청,2,0,1,17,1,1
2009,1115271151,건양대학교병설건양고등학교,고등학교,충청남도교육청,2,0,1,141,9,9
2009,1115305483,송도중학교,중학교,부산광역시교육청,2,0,1,37,8,1
2009,1116270005,대전전자디자인고등학교,고등학교,대전광역시교육청,2,0,1,239,18,18
2009,1116562366,성산초등학교,초등학교,전북특별자치도교육청,2,1,1,34,2,1
2009,1116687357,영신간호비즈니스고등학교,고등학교,서울특별시교육청,2,2,1,313,17,16
2009,1117882549,내토중학교,중학교,충청북도교육청,2,0,1,148,6,6
2009,1117926537,팔마초등학교,초등학교,전라남도교육청,2,0,1,130,7,4
2009,1118250012,송면중학교,중학교,충청북도교육청,2,0,1,14,2,2
2009,1119795501,주천중학교,중학교,강원특별자치도교육청,2,1,1,130,6,7
2009,1120160281,충화초등학교,초등학교,충청남도교육청,2,0,1,16,1,1
2009,1120361983,경주정보고등학교,고등학교,경상북도교육청,2,0,1,130,5,5
2009,1120630204,도농고등학교,고등학교,경기도교육청,2,0,1,15,1,1
2009,1120972990,안양양지초등학교,초등학교,경기도교육청,2,0,1,74,3,1
2009,1121685922,법원여자중학교,중학교,경기도교육청,2,5,1,207,7,14
2009,1122053921,전주기린초등학교,초등학교,전북특별자치도교육청,2,1,1,189,6,7
2009,1123436868,인천갈월초등학교,초등학교,인천광역시교육청,2,0,1,156,6,5
2009,1124335408,광양중동초등학교,초등학교,전라남도교육청,2,0,1,165,6,2
2009,1125733375,한솔초등학교,초등학교,전북특별자치도교육청,2,0,1,213,6,3
2009,1127605020,초전초등학교,초등학교,경상북도교육청,2,0,1,38,2,2
2009,1128040075,안산부곡초등학교,초등학교,경기도교육청,2,0,1,63,2,2
2009,1128172039,진례초등학교,초등학교,경상남도교육청,2,0,1,36,3,1
2009,1128984749,속사초등학교,초등학교,강원특별자치도교육청,2,0,1,12,1,1
2009,1131843447,한정초등학교,초등학교,충청남도교육청,2,0,1,21,1,1
2009,1133160412,충남고등학교,고등학교,대전광역시교육청,2,0,1,486,18,18
2009,1135891437,서울남정초등학교,초등학교,서울특별시교육청,2,0,1,72,4,2
2009,1139400303,서울양전초등학교,초등학교,서울특별시교육청,2,0,1,88,4,2
2009,1139975368,소화초등학교,초등학교,경기도교육청,2,0,1,152,4,2
2009,1141277313,완도중앙초등학교,초등학교,전라남도교육청,2,0,1,184,11,3
2009,1141430199,용인홍천고등학교,고등학교,경기도교육청,2,0,1,466,13,7
2009,1141638338,인천대화초등학교,초등학교,인천광역시교육청,2,0,1,98,5,3
2009,1141746163,구미초등학교,초등학교,경기도교육청,2,0,1,91,6,3
2009,1142562091,고령여자종합고등학교,고등학교,경상북도교육청,2,1,1,85,5,5
2009,1142723023,석호중학교,중학교,경기도교육청,2,0,1,157,8,2
2009,1143769621,천안쌍용중학교,중학교,충청남도교육청,2,0,1,0,0,0
2009,1143801271,곡성고등학교,고등학교,전라남도교육청,2,0,1,296,10,10
2009,1144289433,대포초등학교,초등학교,강원특별자치도교육청,2,0,1,20,2,1
2009,1144854307,인천기계공업고등학교,고등학교,인천광역시교육청,2,2,1,143,19,19
2009,1145051717,대진고등학교,고등학교,강원특별자치도교육청,2,0,1,40,4,3
2009,1146086513,청주신흥고등학교,고등학교,충청북도교육청,2,0,1,150,14,14
2009,1146417498,서울원효초등학교,초등학교,서울특별시교육청,2,0,1,25,2,2
2009,1148126065,금오공업고등학교,고등학교,경상북도교육청,2,4,1,140,3,3
2009,1149777233,법전중앙초등학교,초등학교,경상북도교육청,2,0,1,0,0,0
2009,1150656461,가음중학교,중학교,경상북도교육청,2,0,1,26,1,1
2009,1150747120,팽성초등학교,초등학교,경기도교육청,2,3,1,60,4,4
2009,1150797545,강화초등학교,초등학교,인천광역시교육청,2,1,1,218,9,5
2009,1151112973,대광고등학교,고등학교,부산광역시교육청,2,0,1,29,3,2
2009,1151632249,낙동초등학교,초등학교,부산광역시교육청,2,0,1,117,6,3
2009,1152448177,반송중학교,중학교,경기도교육청,2,0,1,0,0,0
2009,1153279125,문경초등학교,초등학교,경상북도교육청,2,0,1,0,0,0
2009,1153608500,부흥중학교,중학교,부산광역시교육청,2,0,1,167,9,9
2009,1153901398,천안미라초등학교,초등학교,충청남도교육청,2,0,1,87,7,2
2009,1154367029,안양중앙초등학교,초등학교,경기도교육청,2,0,1,98,6,3
2009,1154423892,양학초등학교,초등학교,경상북도교육청,2,0,1,299,16,5
2009,1154525279,대진초등학교,초등학교,강원특별자치도교육청,2,1,1,9,1,1
2009,1156350255,상영초등학교,초등학교,경상북도교육청,2,0,1,862,13,8
2009,1157149016,인천석천초등학교,초등학교,인천광역시교육청,2,0,1,240,10,5
2009,1158202588,동국대학교사범대학부속홍제중학교,중학교,경상남도교육청,2,0,1,0,0,0
2009,1158463835,흥해남산초등학교,초등학교,경상북도교육청,2,0,1,157,14,6
2009,1159130632,고대중학교,중학교,충청남도교육청,2,0,1,57,4,2
2009,1159249186,발안바이오과학고등학교,고등학교,경기도교육청,2,0,1,204,13,10
2009,1159313559,부계초등학교,초등학교,경상북도교육청,2,0,1,20,3,1
2009,1160227656,무거초등학교,초등학교,울산광역시교육청,2,0,1,0,0,0
2009,1161032855,사천초등학교,초등학교,경상남도교육청,2,0,1,178,4,4
2009,1161801576,광주동신고등학교,고등학교,광주광역시교육청,2,0,1,107,5,5
2009,1161954998,남원대산초등학교,초등학교,전북특별자치도교육청,2,0,1,11,1,1
2009,1162525773,서림고등학교,고등학교,전북특별자치도교육청,2,0,1,68,11,7
2009,1164428532,칠보중학교,중학교,경기도교육청,2,1,1,223,10,8
2009,1164738059,갈담초등학교,초등학교,전북특별자치도교육청,2,0,1,76,4,2
2009,1165061533,서울창천초등학교,초등학교,서울특별시교육청,2,0,1,42,3,2
2009,1166648864,안계초등학교,초등학교,경상남도교육청,2,0,1,294,13,13
2009,1166649937,덕일전자공업고등학교,고등학교,서울특별시교육청,2,0,1,47,4,4
2009,1166934251,이곡중학교,중학교,대구광역시교육청,2,0,1,200,7,6
2009,1167341411,대전문화여자중학교,중학교,대전광역시교육청,2,0,1,845,33,33
2009,1167481422,인천산곡초등학교,초등학교,인천광역시교육청,2,0,1,83,3,1
2009,1168171286,봉림중학교,중학교,서울특별시교육청,2,2,1,30,2,2
2009,1169360041,연무마이스터고등학교,고등학교,충청남도교육청,2,0,1,147,9,9
2009,1170536994,차산초등학교,초등학교,경기도교육청,2,1,1,58,2,3
2009,1171584129,약대초등학교,초등학교,경기도교육청,2,17,1,51,5,1
2009,1172101795,칠보고등학교,고등학교,전북특별자치도교육청,2,0,1,5,1,1
2009,1172841548,일동중학교,중학교,광주광역시교육청,2,0,1,36,2,1
2009,1175864398,낙민초등학교,초등학교,부산광역시교육청,2,0,1,108,4,3
2009,1177761256,송우고등학교,고등학교,경기도교육청,2,0,1,400,22,11
2009,1178273022,백양중학교,중학교,부산광역시교육청,2,0,1,124,6,6
2009,1178351879,애월중학교,중학교,제주특별자치도교육청,2,0,1,7,1,1
2009,1178701102,대진고등학교,고등학교,대구광역시교육청,2,0,1,461,14,14
2009,1179451048,전주인봉초등학교,초등학교,전북특별자치도교육청,2,0,1,121,11,6
2009,1179605007,서울온수초등학교,초등학교,서울특별시교육청,2,1,1,23,1,1
2009,1180781960,평원초등학교,초등학교,강원특별자치도교육청,2,0,1,100,4,2
2009,1181012630,주석초등학교,초등학교,경상남도교육청,2,0,1,360,6,6
2009,1182783961,산동중학교,중학교,경상북도교육청,2,0,1,0,0,0
2009,1182992100,성일고등학교,고등학교,전북특별자치도교육청,2,0,1,146,8,8
2009,1183311820,벽제초등학교,초등학교,경기도교육청,2,1,1,64,2,2
2009,1183822512,동평중학교,중학교,울산광역시교육청,2,0,1,123,8,8
2009,1184895396,순천별량중학교,중학교,전라남도교육청,2,0,1,56,5,5
2009,1185299873,월산초등학교,초등학교,경상남도교육청,2,0,1,447,18,9
2009,1185577750,서울문백초등학교,초등학교,서울특별시교육청,2,0,1,122,5,3
2009,1185789108,대전송촌초등학교,초등학교,대전광역시교육청,2,0,1,222,4,2
2009,1186203241,간석여자중학교,중학교,인천광역시교육청,2,0,1,247,12,12
2009,1186931729,도산초등학교,초등학교,울산광역시교육청,2,0,1,62,3,2
2009,1187279880,신현중학교,중학교,경상남도교육청,2,0,1,142,7,7
2009,1187592625,신평중학교,중학교,충청남도교육청,2,0,1,76,2,2
2009,1188956260,용인대덕중학교,중학교,경기도교육청,2,0,1,137,8,2
2009,1189809739,한일여자고등학교,고등학교,경상남도교육청,2,0,1,271,8,8
2009,1189882695,용봉초등학교,초등학교,전북특별자치도교육청,2,0,1,42,2,1
2009,1190802693,문산초등학교,초등학교,경상남도교육청,2,1,1,67,4,4
2009,1190890133,삼산초등학교,초등학교,전라남도교육청,2,0,1,0,0,0
2009,1192403435,내남초등학교,초등학교,경상북도교육청,2,0,1,0,0,0
2009,1194043874,충북상업정보고등학교,고등학교,충청북도교육청,2,0,1,333,19,19
2009,1195481538,동명중학교,중학교,경상북도교육청,2,0,1,0,0,0
2009,1195667684,광주풍향초등학교,초등학교,광주광역시교육청,2,0,1,41,4,2
2009,1195965409,서울세곡초등학교,초등학교,서울특별시교육청,2,0,1,85,10,7
2009,1197638571,대전탄방중학교,중학교,대전광역시교육청,2,0,1,372,7,4
