SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
중,공립,3,충청남도 서산시,3.0,충청남도서산교육지원청,충청남도교육청,N100000094,0,N,0,미지정,결산세출,491072500,138645290,314489360,570651650,813171340,S120000937,65146690,2676931.6,N100000001,13,N,서산중학교,
,공립,3,충청남도 서산시,,충청남도서산교육지원청,충청남도교육청,N100000094,0,N,0,미지정,결산세출,280163520,217887580,35004300,407956310,538264350,S120000939,38194690,3208183.4,N100000001,13,N,성연중학교,
,공립,3,충청남도 서산시,,충청남도서산교육지원청,충청남도교육청,N100000094,0,N,0,미지정,결산세출,179565030,38467280,101298870,207403670,170268040,S120000940,36413410,5238687.9,N100000001,13,N,음암중학교,
중,공립,3,충청남도 서산시,3.0,충청남도서산교육지원청,충청남도교육청,N100000094,0,N,70000000,복식부기,결산세출,203490690,108266080,24393040,195274050,249532710,S120000941,29670480,4892372.5,N100000001,13,N,인지중학교,
,공립,3,충청남도 서산시,,충청남도서산교육지원청,충청남도교육청,N100000094,0,N,0,미지정,결산세출,233295990,100157260,40866380,226477210,308742290,S120000944,33065440,5013854.1,N100000001,13,N,해미중학교,
,공립,3,충청남도 서천군,,충청남도서천교육지원청,충청남도교육청,N100000099,0,N,0,복식부기,결산세출,139539820,152898660,24268870,78341370,71077790,S120000999,14909200,32069047.3,N100000001,13,N,비인중학교,
중,공립,3,충청남도 서천군,3.0,충청남도서천교육지원청,충청남도교육청,N100000099,0,N,54910580,복식부기,결산세출,143703810,86823460,21117350,159753200,84607920,S120001001,7729780,11638460.4,N100000001,13,N,서면중학교,
,공립,3,충청남도 서천군,,충청남도서천교육지원청,충청남도교육청,N100000099,0,N,0,복식부기,결산세출,177549460,47081730,22627520,139740080,117158770,S120001002,30140070,3957760.2,N100000001,13,N,서천여자중학교,
,공립,3,충청남도 서천군,,충청남도서천교육지원청,충청남도교육청,N100000099,0,N,248391000,미지정,결산세출,210298270,284725100,37814300,197672510,233407670,S120001003,33821650,5638599.5,N100000001,13,N,서천중학교,
,공립,3,충청남도 서천군,,충청남도서천교육지원청,충청남도교육청,N100000099,0,N,0,미지정,결산세출,220304530,295700090,190419900,256013550,256461110,S120001006,43583350,5513024.1,N100000001,13,N,장항중학교,
중,공립,3,충청남도 서천군,3.0,충청남도서천교육지원청,충청남도교육청,N100000099,0,N,0,복식부기,결산세출,158207680,133166730,15413970,122007720,109748710,S120001009,9741040,28857150.0,N100000001,13,N,한산중학교,
,공립,3,충청남도 보령시,,충청남도보령교육지원청,충청남도교육청,N100000103,0,N,12000000,미지정,결산세출,198565828,218744590,46954340,119003480,135948852,S120001053,1310280,21544922.6,N100000001,13,N,남포중학교,
,공립,3,충청남도 보령시,,충청남도보령교육지원청,충청남도교육청,N100000103,0,N,0,미지정,결산세출,161732810,214351900,181936280,118516700,81754070,S120001055,10542120,12400546.5,N100000001,13,N,대천서중학교,
