"공시년도","학교급명","시도교육청명","층화학교ID","70%추출","공시학년명","성별명","5등급학생수","4등급학생수","3등급학생수","2등급학생수","1등급학생수"
"2021",고등학교,경기도교육청,"4597521727",Y,"1학년",여자,0,9,23,29,5
"2021",고등학교,경기도교육청,"4618095521",Y,"1학년",여자,0,0,6,12,0
"2021",고등학교,경기도교육청,"4632223601",Y,"1학년",여자,2,22,86,43,2
"2021",고등학교,경기도교육청,"4676020971",Y,"1학년",여자,94,31,17,6,0
"2021",고등학교,경기도교육청,"4775912874",Y,"1학년",여자,3,5,15,27,4
"2021",고등학교,경기도교육청,"5091799626",Y,"1학년",여자,3,14,80,41,1
"2021",고등학교,경기도교육청,"5360434579",Y,"1학년",여자,5,35,63,16,1
"2021",고등학교,경기도교육청,"5411074773",Y,"1학년",여자,7,37,44,15,0
"2021",고등학교,경기도교육청,"5544649466",Y,"1학년",여자,2,36,68,11,0
"2021",고등학교,경기도교육청,"6056464928",Y,"1학년",여자,4,36,17,0,0
"2021",고등학교,경기도교육청,"6128609068",Y,"1학년",여자,2,16,54,38,6
"2021",고등학교,경기도교육청,"6212171136",Y,"1학년",여자,27,77,0,0,0
"2021",고등학교,경기도교육청,"6532984736",Y,"1학년",여자,1,9,76,68,3
"2021",고등학교,경기도교육청,"6680349411",Y,"1학년",여자,9,73,122,15,0
"2021",고등학교,경기도교육청,"6723471976",Y,"1학년",여자,0,17,57,26,1
"2021",고등학교,경기도교육청,"6922611595",Y,"1학년",여자,1,13,54,107,19
"2021",고등학교,경기도교육청,"7211546318",Y,"1학년",여자,1,13,77,82,9
"2021",고등학교,경기도교육청,"7508516029",Y,"1학년",여자,0,2,52,62,2
"2021",고등학교,경기도교육청,"7607482767",Y,"1학년",여자,6,55,29,0,0
"2021",고등학교,경기도교육청,"7634304023",Y,"1학년",여자,0,6,2,1,0
"2021",고등학교,경기도교육청,"7761854897",Y,"1학년",여자,0,2,25,22,4
"2021",고등학교,경기도교육청,"7779300407",Y,"1학년",여자,0,0,8,5,0
"2021",고등학교,경기도교육청,"8646557147",Y,"1학년",여자,2,31,37,11,0
"2021",고등학교,경기도교육청,"8687142944",Y,"1학년",여자,2,18,38,22,2
"2021",고등학교,경기도교육청,"8737679278",Y,"1학년",여자,0,7,14,12,0
"2021",고등학교,경기도교육청,"8962855992",Y,"1학년",여자,3,16,44,26,8
"2021",고등학교,경기도교육청,"9053586242",Y,"1학년",여자,4,33,64,23,1
