SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM
고,사립,4,서울특별시 성북구,4.0,서울특별시교육청,서울특별시교육청,B100000001,1358000,N,20000000,복식부기,예산세출,349229000,161614000,42380000,122908000,147692000,S010000471,5016520000,9656838.6,B100000001,1,일반고등학교,N,성신여자고등학교
,사립,4,서울특별시 용산구,,서울특별시교육청,서울특별시교육청,B100000001,100000,N,30000000,복식부기,예산세출,356329000,86564000,13840000,93998000,117183000,S010000472,4345205000,11593606.9,B100000001,1,일반고등학교,N,성심여자고등학교
,사립,4,서울특별시 서초구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,644128000,286331000,27100000,150648000,327909000,S010000473,6099554000,7129299.9,B100000001,1,자율고등학교,N,세화고등학교
고,사립,4,서울특별시 서초구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,504810000,772077000,159183000,151370000,1093396000,S010000474,5705759000,8064033.7,B100000001,1,자율고등학교,N,세화여자고등학교
고,사립,4,서울특별시 중랑구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,548006000,107497000,41752000,58375000,179174000,S010000475,4635734000,8814142.4,B100000001,1,일반고등학교,N,송곡고등학교
,사립,4,서울특별시 중랑구,,서울특별시교육청,서울특별시교육청,B100000001,20000000,N,30000000,복식부기,예산세출,359202000,170433000,48483000,123874000,74963000,S010000476,5849382000,10009500.7,B100000001,1,일반고등학교,N,송곡여자고등학교
고,사립,4,서울특별시 강남구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,100000000,복식부기,예산세출,868950000,150271000,115305000,132873000,165087000,S010000479,7421932000,7966564.1,B100000001,1,일반고등학교,N,숙명여자고등학교
,사립,4,서울특별시 마포구,,서울특별시교육청,서울특별시교육청,B100000001,4285000,N,0,복식부기,예산세출,460735000,300864000,215201000,235952000,72501000,S010000480,3858462000,10400000.0,B100000001,1,일반고등학교,N,숭문고등학교
,사립,4,서울특별시 은평구,,서울특별시교육청,서울특별시교육청,B100000001,1000000,N,0,복식부기,예산세출,664930000,166918000,1030780000,50663000,197362000,S010000481,6776679000,8546473.1,B100000001,1,일반고등학교,N,숭실고등학교
,사립,4,서울특별시 동작구,,서울특별시교육청,서울특별시교육청,B100000001,2700000,N,0,복식부기,예산세출,462981000,156334000,32420000,64184000,139631000,S010000482,5020606000,8064274.3,B100000001,1,일반고등학교,N,숭의여자고등학교
,사립,4,서울특별시 용산구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,179684000,172019000,24500000,54400000,59801000,S010000483,2976889000,14094687.0,B100000001,1,일반고등학교,N,신광여자고등학교
,사립,4,서울특별시 강북구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,1806898000,81041000,733010000,95146000,1093077000,S010000486,5509828000,9254220.5,B100000001,1,자율고등학교,N,신일고등학교
고,사립,4,서울특별시 양천구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,730718000,199344000,188072000,606019000,450755000,S010000488,6561698000,8556910.9,B100000001,1,자율고등학교,N,양정고등학교
,사립,4,서울특별시 양천구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,342286000,217560000,7000000,42020000,113445000,S010000489,5205352000,6789992.0,B100000001,1,일반고등학교,N,양천고등학교
,사립,4,서울특별시 양천구,,서울특별시교육청,서울특별시교육청,B100000001,2000000,N,0,복식부기,예산세출,563763000,114542000,13150000,19639000,145335000,S010000490,7828725000,8164618.4,B100000001,1,일반고등학교,N,목동고등학교
,사립,4,서울특별시 노원구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,465396000,89147000,58100000,57120000,399045000,S010000494,5298250000,10171019.2,B100000001,1,일반고등학교,N,염광고등학교
고,사립,4,서울특별시 강남구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,10000000,복식부기,예산세출,661560000,191018000,151246000,249750000,178771000,S010000495,5294664000,8452959.8,B100000001,1,일반고등학교,N,영동고등학교
,사립,4,서울특별시 송파구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,100000000,복식부기,예산세출,436378000,208773000,11250000,43218000,209635000,S010000496,5473565000,7038891.4,B100000001,1,일반고등학교,N,영동일고등학교
,사립,4,서울특별시 관악구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,30000000,복식부기,예산세출,322431000,165696000,8220000,78120000,107013000,S010000499,3546167000,8618718.6,B100000001,1,일반고등학교,N,영락고등학교
고,사립,4,서울특별시 양천구,4.0,서울특별시교육청,서울특별시교육청,B100000001,35000000,N,0,복식부기,예산세출,292845000,159671000,63100000,199265000,694640000,S010000500,3522271000,12510811.1,B100000001,1,특성화고등학교,N,서울영상고등학교
고,사립,4,서울특별시 노원구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,5000000,복식부기,예산세출,379335000,112789000,327550000,338508000,546548000,S010000502,6215212000,10427555.3,B100000001,1,일반고등학교,N,영신여자고등학교
고,사립,4,서울특별시 강서구,4.0,서울특별시교육청,서울특별시교육청,B100000001,9000000,N,0,복식부기,예산세출,486149000,250856000,26120000,61565000,109066000,S010000503,6029134000,8533525.1,B100000001,1,일반고등학교,N,영일고등학교
,사립,4,서울특별시 송파구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,30000000,복식부기,예산세출,409846000,180460000,22596000,143660000,132858000,S010000504,6127279000,8667526.4,B100000001,1,일반고등학교,N,영파여자고등학교
,사립,4,서울특별시 강북구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,625770000,278277000,75638000,423720000,129650000,S010000505,5832580000,7546757.2,B100000001,1,일반고등학교,N,영훈고등학교
,사립,4,서울특별시 은평구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,20000000,복식부기,예산세출,301736000,132181000,36402000,208742000,118969000,S010000506,6274060000,8755666.7,B100000001,1,일반고등학교,N,예일여자고등학교
,사립,4,서울특별시 구로구,,서울특별시교육청,서울특별시교육청,B100000001,1000000,N,0,복식부기,예산세출,295079000,111850000,58593000,171679000,79297000,S010000508,4355047000,11075425.8,B100000001,1,일반고등학교,N,오류고등학교
,사립,4,서울특별시 용산구,,서울특별시교육청,서울특별시교육청,B100000001,24405000,N,0,복식부기,예산세출,451544000,82385000,23820000,102815000,83516000,S010000509,4264345000,11159268.3,B100000001,1,일반고등학교,N,오산고등학교
고,사립,4,서울특별시 성북구,4.0,서울특별시교육청,서울특별시교육청,B100000001,3000000,N,51200000,복식부기,예산세출,605625000,279913000,711840000,38780000,327491000,S010000510,6330242000,9786742.1,B100000001,1,일반고등학교,N,용문고등학교
,사립,4,서울특별시 노원구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,46331000,복식부기,예산세출,503143000,69263000,42500000,145835000,182879000,S010000512,6959901000,10257873.5,B100000001,1,일반고등학교,N,용화여자고등학교
,사립,4,서울특별시 구로구,,서울특별시교육청,서울특별시교육청,B100000001,3000000,N,0,복식부기,예산세출,578579000,54094000,545310000,169550000,34319000,S010000513,4638938000,8508178.0,B100000001,1,일반고등학교,N,우신고등학교
