SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
고,사립,4,서울특별시 노원구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,0,25100000,0,699347000,323000000,S010000502,6997524000,B100000001,1,일반고등학교,N,영신여자고등학교,
고,사립,4,서울특별시 강서구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,35500000,9785000,0,0,20000000,S010000503,6981163000,B100000001,1,일반고등학교,N,영일고등학교,
,사립,4,서울특별시 송파구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,30000000,27085000,0,0,5000000,S010000504,6897108000,B100000001,1,일반고등학교,N,영파여자고등학교,
,사립,4,서울특별시 강북구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,0,29406000,0,345609000,435191000,S010000505,8880588000,B100000001,1,일반고등학교,N,영훈고등학교,
,사립,4,서울특별시 은평구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,35000000,25560000,0,0,132759000,S010000506,7336910000,B100000001,1,일반고등학교,N,예일여자고등학교,
,사립,4,서울특별시 구로구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,20000000,44762000,0,48348000,25250000,S010000508,4870764000,B100000001,1,일반고등학교,N,오류고등학교,
,사립,4,서울특별시 용산구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,20000000,157940000,0,0,62000000,S010000509,4848220000,B100000001,1,일반고등학교,N,오산고등학교,
고,사립,4,서울특별시 성북구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,40000000,50200000,0,795670000,116300000,S010000510,7551559000,B100000001,1,일반고등학교,N,용문고등학교,
,사립,4,서울특별시 노원구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,30000000,23030000,0,81500000,100000,S010000512,7686020000,B100000001,1,일반고등학교,N,용화여자고등학교,
,사립,4,서울특별시 구로구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,20000000,100276000,0,529200000,44000000,S010000513,5738562000,B100000001,1,일반고등학교,N,우신고등학교,
