SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM
고,사립,4,서울특별시 관악구,4.0,서울특별시교육청,서울특별시교육청,B100000001,710950,N,558475110,복식부기,결산세출,347401142,135263440,1569394170,562344713,828650882,S010000458,3197492650,13899098.6,B100000001,1,일반고등학교,N,서울미술고등학교
,사립,4,서울특별시 강남구,,서울특별시교육청,서울특별시교육청,B100000001,300000,N,912921420,미지정,결산세출,646894122,441773622,39622630,286843490,979228600,S010000459,4483974210,14064184.3,B100000001,1,일반고등학교,N,서울세종고등학교
,사립,4,서울특별시 도봉구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,429378232,미지정,결산세출,851302377,595162596,449078760,705009790,3432454791,S010000465,5589977211,10675255.8,B100000001,1,자율고등학교,N,선덕고등학교
,사립,4,서울특별시 은평구,,서울특별시교육청,서울특별시교육청,B100000001,1997480,N,148467220,복식부기,결산세출,503578679,479472726,164915670,250151450,1124075544,S010000466,5888299850,11990138.1,B100000001,1,일반고등학교,N,선일여자고등학교
,사립,4,서울특별시 은평구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,1494800880,복식부기,결산세출,1205880732,372737810,150309540,505226490,2777761741,S010000467,6825854880,11946749.2,B100000001,1,일반고등학교,N,선정고등학교
고,사립,4,서울특별시 동작구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,2400103130,미지정,결산세출,697556760,374625650,1091852010,384593550,1576127590,S010000468,6307961140,12794436.5,B100000001,1,일반고등학교,N,성남고등학교
,사립,4,서울특별시 관악구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,3138327890,복식부기,결산세출,704949612,301478695,221592035,401612393,1146300421,S010000470,4742179150,16676745.2,B100000001,1,일반고등학교,N,성보고등학교
고,사립,4,서울특별시 성북구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,298497930,미지정,결산세출,493137241,227273303,93993387,338945133,939525974,S010000471,5395723810,13356941.3,B100000001,1,일반고등학교,N,성신여자고등학교
,사립,4,서울특별시 용산구,,서울특별시교육청,서울특별시교육청,B100000001,20309068,N,1694087820,복식부기,결산세출,508901377,364615161,37580660,365535990,955684717,S010000472,4579952960,20746150.3,B100000001,1,일반고등학교,N,성심여자고등학교
고,사립,4,서울특별시 서초구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,결산세출,668671512,1057749508,45326110,593765553,1762698850,S010000473,6469548389,9997886.7,B100000001,1,자율고등학교,N,세화고등학교
고,사립,4,서울특별시 서초구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,결산세출,558446161,1949693579,332593713,763977535,4065942999,S010000474,5777387957,12868939.7,B100000001,1,자율고등학교,N,세화여자고등학교
고,사립,4,서울특별시 중랑구,4.0,서울특별시교육청,서울특별시교육청,B100000001,376840,N,3109038642,미지정,결산세출,724154619,160993310,677640977,402905770,1315850653,S010000475,4762150230,16721305.9,B100000001,1,일반고등학교,N,송곡고등학교
,사립,4,서울특별시 중랑구,,서울특별시교육청,서울특별시교육청,B100000001,171993840,N,1863743830,미지정,결산세출,505976038,360402921,531799950,472863914,1860893281,S010000476,5249457160,16923396.2,B100000001,1,일반고등학교,N,송곡여자고등학교
고,사립,4,서울특별시 강남구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,1934468500,복식부기,결산세출,998114087,255796640,280276052,388358987,2325018198,S010000479,7186042320,11524202.4,B100000001,1,일반고등학교,N,숙명여자고등학교
고,사립,4,서울특별시 마포구,4.0,서울특별시교육청,서울특별시교육청,B100000001,39089820,N,861483313,미지정,결산세출,369248554,981098323,249900640,438071260,1475188208,S010000480,4245510000,15977103.5,B100000001,1,일반고등학교,N,숭문고등학교
