SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM
,사립,4,서울특별시 강남구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,76727050,9453848,0,92093760,1000000,S010000459,6823004030,B100000001,1,일반고등학교,N,서울세종고등학교
,사립,4,서울특별시 도봉구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,1083126654,40991380,0,7672630820,252368340,S010000465,1702436620,B100000001,1,자율고등학교,N,선덕고등학교
,사립,4,서울특별시 은평구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,174094384,6003052,0,120980660,187216727,S010000466,9333441302,B100000001,1,일반고등학교,N,선일여자고등학교
,사립,4,서울특별시 은평구,,서울특별시교육청,서울특별시교육청,B100000001,N,미지정,결산세입,239798777,161340571,0,377807240,735923651,S010000467,11035684170,B100000001,1,일반고등학교,N,선정고등학교
고,사립,4,서울특별시 동작구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,미지정,결산세입,409421696,129061676,0,861305230,304354070,S010000468,10316897032,B100000001,1,일반고등학교,N,성남고등학교
,사립,4,서울특별시 관악구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,153071558,6323107,0,135116860,411171110,S010000470,7006979920,B100000001,1,일반고등학교,N,성보고등학교
고,사립,4,서울특별시 성북구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,미지정,결산세입,155325059,15096639,0,87990250,17563090,S010000471,8455611720,B100000001,1,일반고등학교,N,성신여자고등학교
,사립,4,서울특별시 용산구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,58174651,19589805,0,116058970,22503400,S010000472,8770936227,B100000001,1,일반고등학교,N,성심여자고등학교
,사립,4,서울특별시 서초구,,서울특별시교육청,서울특별시교육청,B100000001,N,미지정,결산세입,507271176,13730215,0,7047726790,1669320230,S010000473,1516061120,B100000001,1,자율고등학교,N,세화고등학교
고,사립,4,서울특별시 서초구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,미지정,결산세입,541077415,8639855,0,6652302070,561523270,S010000474,1471790442,B100000001,1,자율고등학교,N,세화여자고등학교
고,사립,4,서울특별시 중랑구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,128900008,67099981,0,334808440,30077884,S010000475,8783587370,B100000001,1,일반고등학교,N,송곡고등학교
,사립,4,서울특별시 중랑구,,서울특별시교육청,서울특별시교육청,B100000001,N,미지정,결산세입,191217971,18964943,0,375246987,511482191,S010000476,9017396702,B100000001,1,일반고등학교,N,송곡여자고등학교
고,사립,4,서울특별시 강남구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,124902790,562547241,0,144809290,315149202,S010000479,10634810632,B100000001,1,일반고등학교,N,숙명여자고등학교
,사립,4,서울특별시 마포구,,서울특별시교육청,서울특별시교육청,B100000001,N,미지정,결산세입,1121417256,36579285,0,2941157100,1384540590,S010000480,1767159880,B100000001,1,일반고등학교,N,숭문고등학교
,사립,4,서울특별시 은평구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,347365801,66422926,0,514712650,34641500,S010000481,11092722696,B100000001,1,일반고등학교,N,숭실고등학교
,사립,4,서울특별시 동작구,,서울특별시교육청,서울특별시교육청,B100000001,N,미지정,결산세입,110987568,9270624,0,160723800,292947892,S010000482,7110781770,B100000001,1,일반고등학교,N,숭의여자고등학교
,사립,4,서울특별시 용산구,,서울특별시교육청,서울특별시교육청,B100000001,N,미지정,결산세입,100046863,6684169,0,104410614,343269654,S010000483,4969033190,B100000001,1,일반고등학교,N,신광여자고등학교
,사립,4,서울특별시 강북구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,2023993736,376570904,0,6834938460,1086664340,S010000486,1883343620,B100000001,1,자율고등학교,N,신일고등학교
고,사립,4,서울특별시 양천구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,792602014,12856158,0,6403760460,1292139000,S010000488,1387139630,B100000001,1,자율고등학교,N,양정고등학교
,사립,4,서울특별시 양천구,,서울특별시교육청,서울특별시교육청,B100000001,N,미지정,결산세입,277561600,7277613,0,56509370,20386170,S010000489,8984034650,B100000001,1,일반고등학교,N,양천고등학교
,사립,4,서울특별시 양천구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,223143837,137986471,0,170541920,447175272,S010000490,11559362810,B100000001,1,일반고등학교,N,목동고등학교
,사립,4,서울특별시 노원구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,129370563,17381275,0,264321352,102763270,S010000494,7629372080,B100000001,1,일반고등학교,N,염광고등학교
고,사립,4,서울특별시 강남구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,186876859,7080699,0,78689590,58667930,S010000495,8089531029,B100000001,1,일반고등학교,N,영동고등학교
,사립,4,서울특별시 송파구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,276363345,90536676,0,97598240,2220000,S010000496,10422799345,B100000001,1,일반고등학교,N,영동일고등학교
,사립,4,서울특별시 관악구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,3508658201,29252407,0,72713900,1004839120,S010000499,7199194640,B100000001,1,일반고등학교,N,영락고등학교
고,사립,4,서울특별시 양천구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,121811939,35457109,0,422573840,52077000,S010000500,6021086410,B100000001,1,특성화고등학교,N,서울영상고등학교
고,사립,4,서울특별시 노원구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,768480443,12929935,0,285743925,331051446,S010000502,9695113850,B100000001,1,일반고등학교,N,영신여자고등학교
고,사립,4,서울특별시 강서구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,45177992,11865089,0,156793630,1879030,S010000503,10021730470,B100000001,1,일반고등학교,N,영일고등학교
,사립,4,서울특별시 송파구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,128944116,11657416,0,132804030,6600000,S010000504,10639187222,B100000001,1,일반고등학교,N,영파여자고등학교
,사립,4,서울특별시 강북구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,2108198063,32105194,0,65107130,492307670,S010000505,9016585260,B100000001,1,일반고등학교,N,영훈고등학교
,사립,4,서울특별시 은평구,,서울특별시교육청,서울특별시교육청,B100000001,N,미지정,결산세입,68703524,3560074,0,114637940,24700000,S010000506,9127957380,B100000001,1,일반고등학교,N,예일여자고등학교
,사립,4,서울특별시 구로구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,305903455,10578654,0,83186850,61400780,S010000508,8162425052,B100000001,1,일반고등학교,N,오류고등학교
,사립,4,서울특별시 용산구,,서울특별시교육청,서울특별시교육청,B100000001,N,미지정,결산세입,83444598,119615752,0,176642870,362129392,S010000509,6600379440,B100000001,1,일반고등학교,N,오산고등학교
고,사립,4,서울특별시 성북구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,미지정,결산세입,72161494,22952728,0,542202782,480817211,S010000510,10428867200,B100000001,1,일반고등학교,N,용문고등학교
,사립,4,서울특별시 노원구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,210654722,14627262,0,100101851,1520000,S010000512,10649034500,B100000001,1,일반고등학교,N,용화여자고등학교
,사립,4,서울특별시 구로구,,서울특별시교육청,서울특별시교육청,B100000001,N,미지정,결산세입,527518033,85610880,0,720164365,89370000,S010000513,8300116405,B100000001,1,일반고등학교,N,우신고등학교
고,사립,4,서울특별시 강남구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,99597496,5212402,0,60448620,59607460,S010000514,6754297370,B100000001,1,일반고등학교,N,은광여자고등학교
고,사립,4,서울특별시 은평구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,미지정,결산세입,752086868,35795262,0,127682590,32000000,S010000515,9091365240,B100000001,1,특성화고등학교,N,은평메디텍고등학교
고,사립,4,서울특별시 중구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,118859507,265293031,0,8013240497,1651497030,S010000516,1683002116,B100000001,1,자율고등학교,N,이화여자고등학교
,사립,4,서울특별시 서대문구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,437533414,36914073,0,6828681711,512861000,S010000517,1654793767,B100000001,1,자율고등학교,N,이화여자대학교사범대학부속이화금란고등학교
고,사립,4,서울특별시 서대문구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,117919266,27511419,0,489533098,98610000,S010000518,7912400542,B100000001,1,일반고등학교,N,인창고등학교
,사립,4,서울특별시 송파구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,136447913,21814580,0,114312700,46500000,S010000524,10513495900,B100000001,1,일반고등학교,N,잠실여자고등학교
고,사립,4,서울특별시 중구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,39850158,4685009,0,781081080,217592000,S010000525,5487607100,B100000001,1,일반고등학교,N,장충고등학교
고,사립,4,서울특별시 영등포구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,779352303,20003357,0,5068266370,404029500,S010000526,1304250390,B100000001,1,일반고등학교,N,장훈고등학교
고,사립,4,서울특별시 노원구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,60293396,13756889,0,129317077,52920000,S010000527,11499427350,B100000001,1,일반고등학교,N,재현고등학교
고,사립,4,서울특별시 송파구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,458020311,10359422,0,171883580,872138170,S010000528,9737565932,B100000001,1,일반고등학교,N,정신여자고등학교
고,사립,4,서울특별시 도봉구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,179043332,46393571,0,122769066,371198999,S010000529,12832586290,B100000001,1,일반고등학교,N,정의여자고등학교
,사립,4,서울특별시 강남구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,796956407,53505126,0,7463178326,2139907030,S010000531,1419404980,B100000001,1,자율고등학교,N,중동고등학교
,사립,4,서울특별시 강남구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,52472902,8304489,0,90010780,477398160,S010000532,9729717220,B100000001,1,일반고등학교,N,중산고등학교
,사립,4,서울특별시 종로구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,145152165,466858924,0,7143492470,1374447751,S010000533,1674736540,B100000001,1,자율고등학교,N,중앙고등학교
,사립,4,서울특별시 강남구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,246844110,15701027,0,508811260,125941120,S010000534,10694598360,B100000001,1,일반고등학교,N,중앙대학교사범대학부속고등학교
,사립,4,서울특별시 서대문구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,207995689,9746293,0,188671070,277329510,S010000535,6179589124,B100000001,1,일반고등학교,N,중앙여자고등학교
,사립,4,서울특별시 양천구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,1084013998,8644456,0,159971319,12165000,S010000537,12847043420,B100000001,1,일반고등학교,N,진명여자고등학교
,사립,4,서울특별시 강남구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,1054475161,20608104,0,142821610,242480830,S010000538,8358771160,B100000001,1,일반고등학교,N,진선여자고등학교
