SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
,사립,4,경상남도 진주시,,경상남도교육청,경상남도교육청,S100000001,4000000,N,12943000,복식부기,예산세출,207504000,110976000,24300000,76580000,608766000,S160000667,2296218000,22729843.5,S100000001,17,일반고등학교,N,진주외국어고등학교,
,사립,4,경상남도 진주시,,경상남도교육청,경상남도교육청,S100000001,9000000,N,55000000,복식부기,예산세출,416996000,160843000,42506000,240026000,1556505000,S160000668,5125282000,10608309.6,S100000001,17,일반고등학교,N,진주제일여자고등학교,
,사립,4,경상남도 창원시 진해구,,경상남도교육청,경상남도교육청,S100000001,30000000,N,53877000,복식부기,예산세출,297551000,179500000,102490000,255272000,1349191000,S160000670,4030633000,9115070.9,S100000001,17,일반고등학교,N,진해세화여자고등학교,
,사립,4,경상남도 창원시 진해구,,경상남도교육청,경상남도교육청,S100000001,10000000,N,11800000,복식부기,예산세출,314148000,111059000,8100000,178865000,1249494000,S160000675,3928560000,9124059.7,S100000001,17,일반고등학교,N,진해중앙고등학교,
,사립,4,경상남도 창녕군,,경상남도교육청,경상남도교육청,S100000001,3000000,N,0,복식부기,예산세출,185452000,96430000,226416000,152378000,420316000,S160000677,1323691000,18664209.3,S100000001,17,일반고등학교,N,창녕고등학교,
고,사립,4,경상남도 창녕군,4.0,경상남도교육청,경상남도교육청,S100000001,5000000,N,90454000,복식부기,예산세출,313116000,100008000,30000000,76705000,781032000,S160000678,2122184000,22554480.8,S100000001,17,특성화고등학교,N,한국과학기술고등학교,
,사립,4,경상남도 창녕군,,경상남도교육청,경상남도교육청,S100000001,0,N,22000000,복식부기,예산세출,140835000,111722000,23150000,44263000,591954000,S160000681,1619829000,24321457.1,S100000001,17,일반고등학교,N,창녕대성고등학교,
,사립,4,경상남도 창녕군,,경상남도교육청,경상남도교육청,S100000001,4607000,N,5000000,복식부기,예산세출,222957000,118444000,23500000,141475000,860182000,S160000682,2816986000,17618281.5,S100000001,17,일반고등학교,N,창녕여자고등학교,
,사립,4,경상남도 남해군,,경상남도교육청,경상남도교육청,S100000001,2000000,N,2000000,복식부기,예산세출,171695000,128429000,46100000,95765000,1010253000,S160000685,1843929000,20246447.9,S100000001,17,일반고등학교,N,창선고등학교,
고,사립,4,경상남도 창원시 마산회원구,4.0,경상남도교육청,경상남도교육청,S100000001,6500000,N,20000000,복식부기,예산세출,298379000,405458000,152190000,259674000,1598465000,S160000687,3629142000,12563723.9,S100000001,17,일반고등학교,N,창신고등학교,
